slugSeason,Year,League,Date,Score,MVP,Location
2020-21,2021,NBA,2021-02-14,,,"Bankers Life Fieldhouse, Indianapolis, IN"
2019-20,2020,NBA,2020-02-16,"LeBron 157, Giannis 155",Kawhi Leonard,"United Center, Chicago, IL"
2018-19,2019,NBA,2019-02-17,"Team LeBron 178, Team Giannis 164",Kevin Durant,"Spectrum Center, Charlotte, NC"
2017-18,2018,NBA,2018-02-18,"Team LeBron 148, Team Stephen 145",LeBron James,"STAPLES Center, Los Angeles, CA"
2016-17,2017,NBA,2017-02-19,"West 192, East 182",Anthony Davis,"Smoothie King Center, New Orleans, LA"
2015-16,2016,NBA,2016-02-14,"West 196, East 173",Russell Westbrook,"Air Canada Centre, Toronto,"
2014-15,2015,NBA,2015-02-15,"West 163, East 158",Russell Westbrook,"Madison Square Garden, New York, NY"
2013-14,2014,NBA,2014-02-16,"East 163, West 155",Kyrie Irving,"Smoothie King Center, New Orleans, LA"
2012-13,2013,NBA,2013-02-17,"West 143, East 138",Chris Paul,"Toyota Center, Houston, TX"
2011-12,2012,NBA,2012-02-26,"West 152, East 149",Kevin Durant,"Amway Center, Orlando, FL"
2010-11,2011,NBA,2011-02-20,"West 148, East 143",Kobe Bryant,"STAPLES Center, Los Angeles, CA"
2009-10,2010,NBA,2010-02-14,"East 141, West 139",Dwyane Wade,"Cowboys Stadium, Arlington, TX"
2008-09,2009,NBA,2009-02-15,"West 146, East 119","Kobe Bryant, Shaquille O'Neal","US Airways Center, Phoenix, AZ"
2007-08,2008,NBA,2008-02-17,"East 134, West 128",LeBron James,"New Orleans Arena, New Orleans, LA"
2006-07,2007,NBA,2007-02-18,"West 153, East 132",Kobe Bryant,"Thomas & Mack Center, Las Vegas, NV"
2005-06,2006,NBA,2006-02-19,"East 122, West 120",LeBron James,"Toyota Center, Houston, TX"
2004-05,2005,NBA,2005-02-20,"East 125, West 115",Allen Iverson,"Pepsi Center, Denver, CO"
2003-04,2004,NBA,2004-02-15,"West 136, East 132",Shaquille O'Neal,"STAPLES Center, Los Angeles, CA"
2002-03,2003,NBA,2003-02-09,"West 155, East 145 (2OT)",Kevin Garnett,"Philips Arena, Atlanta, GA"
2001-02,2002,NBA,2002-02-10,"West 135, East 120",Kobe Bryant,"First Union Center, Philadelphia, PA"
2000-01,2001,NBA,2001-02-11,"East 111, West 110",Allen Iverson,"MCI Center, Washington, DC"
1999-00,2000,NBA,2000-02-13,"West 137, East 126","Tim Duncan, Shaquille O'Neal","Oakland Arena, Oakland, CA"
1998-98,1998,NBA,1998-02-08,"East 135, West 114",Michael Jordan,"Madison Square Garden, New York, NY"
1997-97,1997,NBA,1997-02-09,"East 132, West 120",Glen Rice,"Gund Arena, Cleveland, OH"
1996-96,1996,NBA,1996-02-11,"East 129, West 118",Michael Jordan,"Alamodome, San Antonio, TX"
1995-95,1995,NBA,1995-02-12,"West 139, East 112",Mitch Richmond,"America West Arena, Phoenix, AZ"
1994-94,1994,NBA,1994-02-13,"East 127, West 118",Scottie Pippen,"Target Center, Minneapolis, MN"
1993-93,1993,NBA,1993-02-21,"West 135, East 132 (OT)","Karl Malone, John Stockton","Delta Center, Salt Lake City, UT"
1992-92,1992,NBA,1992-02-09,"West 153, East 113",Magic Johnson,"Orlando Arena, Orlando, FL"
1991-91,1991,NBA,1991-02-10,"East 116, West 114",Charles Barkley,"Charlotte Coliseum, Charlotte, NC"
1990-90,1990,NBA,1990-02-11,"East 130, West 113",Magic Johnson,"Miami Arena, Miami, FL"
1989-89,1989,NBA,1989-02-12,"West 143, East 134",Karl Malone,"Astrodome, Houston, TX"
1988-88,1988,NBA,1988-02-07,"East 138, West 133",Michael Jordan,"Chicago Stadium, Chicago, IL"
1987-87,1987,NBA,1987-02-08,"West 154, East 149 (OT)",Tom Chambers,"Kingdome, Seattle, WA"
1986-86,1986,NBA,1986-02-09,"East 139, West 132",Isiah Thomas,"Reunion Arena, Dallas, TX"
1985-85,1985,NBA,1985-02-10,"West 140, East 129",Ralph Sampson,"Hoosier Dome, Indianapolis, IN"
1984-84,1984,NBA,1984-01-29,"East 154, West 145 (OT)",Isiah Thomas,"McNichols Sports Arena, Denver, CO"
1983-83,1983,NBA,1983-02-13,"East 132, West 123",Julius Erving,"The Forum, Inglewood, CA"
1982-82,1982,NBA,1982-01-31,"East 120, West 118",Larry Bird,"Continental Airlines Arena at The Meadowlands, East Rutherford, NJ"
1981-81,1981,NBA,1981-02-01,"East 123, West 120",Tiny Archibald,"Coliseum at Richfield, Richfield, OH"
1980-80,1980,NBA,1980-02-03,"East 144, West 136 (OT)",George Gervin,"Capital Centre, Landover, MD"
1979-79,1979,NBA,1979-02-04,"West 134, East 129",David Thompson,"Pontiac Silverdome, Detroit, MI"
1978-78,1978,NBA,1978-02-05,"East 133, West 125",Randy Smith,"The Omni, Atlanta, GA"
1977-77,1977,NBA,1977-02-13,"West 125, East 124",Julius Erving,"Milwaukee Arena, Milwaukee, WI"
1976-76,1976,NBA,1976-02-03,"East 123, West 109",Dave Bing,"The Spectrum, Philadelphia, PA"
1975-75,1975,NBA,1975-01-14,"East 108, West 102",Walt Frazier,"Veterans Memorial Coliseum, Phoenix, AZ"
1974-74,1974,NBA,1974-01-15,"West 134, East 123",Bob Lanier,"Seattle Center Coliseum, Seattle, WA"
1973-73,1973,NBA,1973-01-23,"East 104, West 84",Dave Cowens,"Chicago Stadium, Chicago, IL"
1972-72,1972,NBA,1972-01-18,"West 112, East 110",Jerry West,"The Forum, Inglewood, CA"
1971-71,1971,NBA,1971-01-12,"West 108, East 107",Lenny Wilkens,"San Diego Sports Arena, San Diego, CA"
1970-70,1970,NBA,1970-01-20,"East 142, West 135",Willis Reed,"The Spectrum, Philadelphia, PA"
1969-69,1969,NBA,1969-01-14,"East 123, West 112",Oscar Robertson,"Baltimore Civic Center, Baltimore, MD"
1968-68,1968,NBA,1968-01-23,"East 144, West 124",Hal Greer,"Madison Square Garden, New York, NY"
1967-67,1967,NBA,1967-01-10,"West 135, East 120",Rick Barry,"Cow Palace, San Francisco, CA"
1966-66,1966,NBA,1966-01-11,"East 137, West 94",Adrian Smith,"Cincinnati Gardens, Cincinnati, OH"
1965-65,1965,NBA,1965-01-13,"East 124, West 123",Jerry Lucas,"St. Louis Arena, St. Louis, MO"
1964-64,1964,NBA,1964-01-14,"East 111, West 107",Oscar Robertson,"Boston Garden, Boston, MA"
1963-63,1963,NBA,1963-01-16,"East 115, West 108",Bill Russell,"Los Angeles Memorial Sports Arena, Los Angeles, CA"
1962-62,1962,NBA,1962-01-16,"West 150, East 130",Bob Pettit,"St. Louis Arena, St. Louis, MO"
1961-61,1961,NBA,1961-01-17,"West 153, East 131",Oscar Robertson,"Onondaga County War Memorial Coliseum, Syracuse, NY"
1960-60,1960,NBA,1960-01-22,"East 125, West 115",Wilt Chamberlain,"Convention Hall, Philadelphia, PA"
1959-59,1959,NBA,1959-01-23,"West 124, East 108","Elgin Baylor, Bob Pettit","Olympia Stadium, Detroit, MI"
1958-58,1958,NBA,1958-01-21,"East 130, West 118",Bob Pettit,"Kiel Auditorium, St. Louis, MO"
1957-57,1957,NBA,1957-01-15,"East 109, West 97",Bob Cousy,"Boston Garden, Boston, MA"
1956-56,1956,NBA,1956-01-24,"West 108, East 94",Bob Pettit,"Rochester War Memorial Coliseum, Rochester, NY"
1955-55,1955,NBA,1955-01-18,"East 100, West 91",Bill Sharman,"Madison Square Garden, New York, NY"
1954-54,1954,NBA,1954-01-21,"East 98, West 93 (OT)",Bob Cousy,"Madison Square Garden, New York, NY"
1953-53,1953,NBA,1953-01-13,"West 79, East 75",George Mikan,"Allen County War Memorial Coliseum, Ft. Wayne, IN"
1952-52,1952,NBA,1952-02-11,"East 108, West 91",Paul Arizin,"Boston Garden, Boston, MA"
1951-51,1951,NBA,1951-03-02,"East 111, West 94",Ed Macauley,"Boston Garden, Boston, MA"